"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13119","test","webkit","Tue Mar 11 12:49:43 IST 2025","passed","Tue Mar 11 12:49:56 IST 2025","","WebOrder_CreateOrder.spec.js","",""
"","1108","POST Request - Negative Scenario","chrome","Fri Feb 21 13:16:26 IST 2025","passed","Fri Feb 21 13:16:27 IST 2025","Create Token","Create_Token.spec.js","",""
"","2543","Transfer Funds TC31","chrome","Fri Nov 29 11:05:09 IST 2024","passed","Fri Nov 29 11:05:12 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","6841","Parameterize tests in playwright MyMoney","chrome","Wed Feb 19 16:38:58 IST 2025","passed","Wed Feb 19 16:39:05 IST 2025","","Parametrize_WebOrder_CreateOrder_Dropdown_Value.spec.js","",""
"","11737","Create Order Unique Order- Verify Order @smoke","chrome","Tue May 06 13:14:15 IST 2025","passed","Tue May 06 13:14:26 IST 2025","","WebOrder_Create_Unique_Order_VerifyOrder.spec.js","",""
"","6147","Positive Scenario for login + logout","chrome","Thu Feb 20 16:35:08 IST 2025","passed","Thu Feb 20 16:35:14 IST 2025","Login / Logout Flow @smoke","login.spec.js","",""
"","2427","Transfer Funds TC15","chrome","Fri Nov 29 11:04:28 IST 2024","passed","Fri Nov 29 11:04:30 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","13885","Notes @sanity","chrome","Tue Mar 11 13:01:01 IST 2025","passed","Tue Mar 11 13:01:15 IST 2025","","Notes_Test.spec.js","",""
"","29183","test Work","chrome","Thu Nov 28 12:29:48 IST 2024","failed","Thu Nov 28 12:30:17 IST 2024","Exercise 3","Exercise3.spec.js","",""
"","2731","Transfer Funds TC38","chrome","Fri Nov 29 11:05:27 IST 2024","passed","Fri Nov 29 11:05:30 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","4742","Test login page Smoke","chrome","Tue Apr 22 16:01:35 IST 2025","passed","Tue Apr 22 16:01:40 IST 2025","","Blazedemo.spec.js","",""
