"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32345","Shopping Cart - Add and Remove Product @sanity","chrome","Thu Oct 30 11:43:54 IST 2025","broken","Thu Oct 30 11:44:26 IST 2025","","Demo_Cart_Assignment.spec.ts","",""
"","7559","Go to Order Page","chrome","Thu Oct 30 11:44:01 IST 2025","passed","Thu Oct 30 11:44:08 IST 2025","WebOrder E2E Test tests @sanity","WebOrder_CreateOrder_CallingBaseClass.spec.ts","",""
"","12018","Create Order Unique Order- Verify Order @smoke","chrome","Thu Oct 30 11:38:13 IST 2025","passed","Thu Oct 30 11:38:25 IST 2025","","WebOrder_Page_Element_Screenshot.spec.ts","",""
"","4458","Create Order-Update Order- Verify Order@smoke","chrome","Thu Oct 30 11:38:09 IST 2025","passed","Thu Oct 30 11:38:13 IST 2025","","ScrapData_BaseClass_Method.spec.ts","",""
"","8105","Notes @sanity","chrome","Thu Oct 30 11:43:54 IST 2025","passed","Thu Oct 30 11:44:02 IST 2025","","Notes_Test.spec.ts","",""
"","12907","Create Order Unique Order- Verify Order @smoke","chrome","Thu Oct 30 11:38:09 IST 2025","passed","Thu Oct 30 11:38:22 IST 2025","","WebOrder_Create_Unique_Order_VerifyOrder.spec.ts","",""
"","6815","Go to View All Order Page","chrome","Thu Oct 30 11:44:02 IST 2025","passed","Thu Oct 30 11:44:09 IST 2025","WebOrder E2E Test tests @sanity","WebOrder_CreateOrder_CallingBaseClass.spec.ts","",""
"","9428","Delete Order - Verify Order got deleted @sanity","chrome","Thu Oct 30 11:44:08 IST 2025","passed","Thu Oct 30 11:44:18 IST 2025","","WebOrder_DeleteOrder_VerifyOrder.spec.ts","",""
"","6071","Go to View All Order Page","chrome","Thu Oct 30 11:44:16 IST 2025","passed","Thu Oct 30 11:44:22 IST 2025","WebOrder E2E Test tests @sanity","WebOrder_Login_CallingBaseClass.spec.ts","",""
"","6857","Go to Order Page","chrome","Thu Oct 30 11:44:09 IST 2025","passed","Thu Oct 30 11:44:16 IST 2025","WebOrder E2E Test tests @sanity","WebOrder_Login_CallingBaseClass.spec.ts","",""
"","9525","Create Order - Update Order - Verify Order @smoke","chrome","Thu Oct 30 11:38:16 IST 2025","passed","Thu Oct 30 11:38:26 IST 2025","","WebOrder_Update_Order_Using_Filter_Locator.spec.ts","",""
"","6725","View Port Test cases @sanity @smoke","chrome","Thu Oct 30 11:43:54 IST 2025","passed","Thu Oct 30 11:44:01 IST 2025","","ViewPort_WebOrder_Login.spec.ts","",""
"","14187","Create Order-Update Order- Verify Order @smoke","chrome","Thu Oct 30 11:38:22 IST 2025","passed","Thu Oct 30 11:38:36 IST 2025","","WebOrder_Update_Order_VerifyOrder.spec.ts","",""
